group_id,id,user_id,created_at,updated_at
"1","1","1","'2023-03-22T04:50:06.974697+00:00'","'2023-03-22T04:50:06.974697+00:00'"
"2","2","1","'2023-03-22T05:03:02.65387+00:00'","'2023-03-22T05:03:02.65387+00:00'"
"1","3","2","'2023-03-22T05:03:42.572463+00:00'","'2023-03-22T05:03:42.572463+00:00'"
"2","5","2","'2023-03-29T06:47:21.02034+00:00'","'2023-03-29T06:47:21.02034+00:00'"
"76","9","1","'2023-03-30T05:56:12.623771+00:00'","'2023-03-30T05:56:12.623771+00:00'"
"76","143","107","'2023-04-05T12:05:30.476787+00:00'","'2023-04-05T12:05:30.476787+00:00'"
"106","34","1","'2023-04-04T05:33:52.842382+00:00'","'2023-04-04T05:33:52.842382+00:00'"
"106","35","37","'2023-04-04T05:33:52.842382+00:00'","'2023-04-04T05:33:52.842382+00:00'"
"76","153","2","'2023-04-06T06:15:41.696241+00:00'","'2023-04-06T06:15:41.696241+00:00'"
"76","156","102","'2023-04-06T06:15:44.741269+00:00'","'2023-04-06T06:15:44.741269+00:00'"
"76","48","37","'2023-04-05T04:52:07.720913+00:00'","'2023-04-05T04:52:07.720913+00:00'"